,Lasso,LinearRegression,Ridge,ElasticNet
Rooms,94782.16690805592,94785.29605817732,94435.01811808738,48693.555913215205
Distance,-31631.78559794506,-31632.188513779027,-31564.527836268207,-26377.215594724763
Bathroom,154108.00171575337,154108.18117402232,154543.33629904015,73652.5416174053
Car,42261.26032430249,42262.34637089033,42219.16334259024,29659.79058226264
Landsize,62.54021961628506,62.53976190686664,62.64515935756227,73.63714183610766
BuildingArea,3599.6688361387296,3599.6219649878944,3603.146455232317,4772.417931635622
Longtitude,1532621.2242563162,1532723.9233573086,1510879.0865238109,29728.96109104956
Regionname,58746.922532854915,58750.20315825049,58106.550857509654,12722.438365170181
Propertycount,1.2876585340110782,1.2878735454995833,1.262184018258828,-1.1043078744810322
Age,5331.084014752627,5331.048115147001,5339.790654175538,5693.616823844708
Method_PI,-34478.79780390508,-30802.127411163427,-30549.98507609887,-2644.5772543226217
Method_PN,0.0,-3.4924596548080444e-10,0.0,0.0
Method_S,24722.13376012631,28412.48339641632,28313.38245212379,10325.676807711181
Method_SA,16345.786193223967,20163.425772564147,20145.683794091965,569.1208975084119
Method_SN,0.0,0.0,0.0,0.0
Method_SP,-32162.292597141033,-28477.923774713436,-28924.87070975425,-15034.968093997884
Method_SS,0.0,0.0,0.0,0.0
Method_VB,7006.267778353636,10704.14201689594,11015.789539694106,6783.747643049031
Method_W,0.0,0.0,0.0,0.0
