iter	RMSE
0	603053.4363
1	572958.2119
2	546688.1606
3	523450.6572
4	504282.7081
5	485632.6424
6	471188.2621
7	456756.7887
8	445772.7543
9	436582.82
10	426946.8763
11	418566.9206
12	410704.2776
13	403273.3804
14	396323.4728
15	391446.9721
16	385810.8347
17	381051.1405
18	377725.3664
19	374971.5414
20	370881.5542
21	368018.0336
22	365073.3962
23	362585.3632
24	360179.1283
25	358024.3704
26	355918.1528
27	353603.7031
28	351783.612
29	349938.7496
30	348164.2069
31	345977.2402
32	344482.8086
33	342615.1013
34	341122.8123
35	339646.9908
36	338086.1904
37	336912.657
38	335774.0845
39	334555.8368
40	333424.2721
41	332261.6064
42	331108.6987
43	330009.7971
44	329104.3124
45	328572.942
46	327626.7081
47	327056.8159
48	326467.5765
49	325878.7814
50	325319.5649
51	324559.2384
52	324245.7758
53	323247.0166
54	322302.6973
55	321831.207
56	321419.9429
57	321087.5013
58	320543.9752
59	319622.5043
60	319447.1695
61	319190.2804
62	318874.6461
63	318219.8465
64	317704.4361
65	317576.8245
66	316806.7785
67	316460.3409
68	315803.91
69	315279.5323
70	314521.5575
71	313837.2352
72	313410.1515
73	313007.6775
74	312639.8979
75	312191.6736
76	311840.4252
77	311376.7551
78	311113.5613
79	310201.7802
80	309017.5033
81	308698.6541
82	308579.4626
83	307505.3095
84	307417.108
85	306994.6134
86	305954.6738
87	305403.0306
88	304717.412
89	304379.0599
90	304123.5307
91	303891.5147
92	303431.5912
93	302832.3716
94	302452.2436
95	301807.4977
96	301473.1168
97	301000.0149
98	300740.7616
99	300161.8523
100	299917.0085
101	299568.6144
102	299102.987
103	298413.1767
104	298006.1407
105	297602.3084
106	297333.3394
107	296883.8817
108	296520.1628
109	296224.0808
110	295783.6318
111	295177.3199
112	294477.0415
113	293988.0042
114	293705.6209
115	293506.0828
116	293215.6778
117	292723.3337
118	292358.5783
119	292063.4088
120	291698.2406
121	291384.5132
122	290863.0167
123	290379.4661
124	289986.3651
125	289830.9392
126	289563.1266
127	289388.4759
128	289005.5914
129	288498.28
130	288186.4755
131	287691.3539
132	287194.0744
133	286707.4411
134	286483.0992
135	286163.733
136	285879.3798
137	285395.5586
138	285032.1001
139	284706.0969
140	284307.3954
141	284087.1501
142	283464.033
143	283068.7677
144	282500.7364
145	282256.8516
146	282078.999
147	281733.2449
148	281403.4717
149	281080.0997
150	280728.4769
151	280511.1109
152	280022.5067
153	279787.9968
154	279491.9792
155	279144.8914
156	278864.4453
157	278524.4493
158	278283.6833
159	277785.2484
160	277585.5747
161	277311.7189
162	276901.8625
163	276492.8486
164	276225.2663
165	275820.0912
166	275533.3829
167	275243.5115
168	274922.5633
169	274577.9165
170	274406.3048
171	274243.0915
172	274016.812
173	273753.3776
174	273550.2496
175	273340.6247
176	272807.6127
177	272461.0203
178	272449.9867
179	272079.497
180	271680.335
181	271501.3489
182	271197.6395
183	270820.8777
184	270660.3155
185	270518.8953
186	270337.2864
187	270188.9477
188	269916.8624
189	269616.2773
190	269371.0668
191	269059.7056
192	268831.0884
193	268365.9105
194	268085.851
195	267927.6492
196	267680.8139
197	267328.1905
198	267098.5651
199	266939.7887
200	266621.5841
201	266458.5758
202	266269.2027
203	265934.254
204	265713.712
205	265486.7464
206	265179.058
207	264968.7173
208	264695.5298
209	264432.2959
210	264198.4696
211	264011.0627
212	263901.3487
213	263725.2899
214	263525.0763
215	263364.5194
216	263156.4606
217	262925.3662
218	262785.2606
219	262587.4554
220	262034.3788
221	261818.6452
222	261582.9739
223	261334.0122
224	261132.4048
225	261013.1156
226	260765.0755
227	260524.9148
228	260220.4508
229	260044.0922
230	259823.7817
231	259718.1994
232	259555.7764
233	259413.0404
234	259053.6606
235	258901.2725
236	258523.4759
237	258254.3926
238	258134.4698
239	257956.9166
240	257758.9014
241	257626.2646
242	257282.7057
243	257109.8539
244	257015.753
245	256722.0458
246	256436.8164
247	255844.1701
248	255570.0248
249	255037.0527
250	254752.0576
251	254622.9147
252	254420.1407
253	254219.0483
254	254111.6109
255	253873.6919
256	253647.1616
257	253389.1251
258	253162.0482
259	253006.4974
260	252889.8139
261	252673.3912
262	252518.4283
263	252339.4613
264	252200.1898
265	251977.1187
266	251906.4596
267	251688.3874
268	251535.9235
269	251327.0326
270	251085.5401
271	250888.1854
272	250751.743
273	250597.1832
274	250412.7795
275	250245.7241
276	249993.8331
277	249885.346
278	249667.0445
279	249517.1427
280	249344.8256
281	249150.4152
282	248998.5723
283	248812.0666
284	248678.1814
285	248521.7233
286	248406.3349
287	248283.4311
288	248053.5418
289	247945.9021
290	247737.2241
291	247531.9396
292	247167.0724
293	247068.2301
294	246916.6394
295	246784.2473
296	246528.807
297	246418.7762
298	246340.7003
299	246203.4032
300	246080.3384
301	246031.8468
302	245892.8418
303	245768.2227
304	245585.4757
305	245383.3919
306	245156.6908
307	245064.9554
308	244984.3033
309	244728.9825
310	244600.6346
311	244419.3051
312	244294.7485
313	244082.7654
314	243927.508
315	243760.9038
316	243633.4811
317	243500.8633
318	243330.3024
319	243117.0808
320	243034.5405
321	242934.2567
322	242873.2936
323	242640.8231
324	242517.2531
325	242291.1952
326	242168.4648
327	242039.5513
328	241908.0966
329	241791.718
330	241591.8676
331	241418.7674
