iter	Passed	Remaining
0	3	1847
1	6	1728
2	10	1747
3	13	1709
4	17	1711
5	20	1663
6	23	1644
7	26	1624
8	29	1617
9	32	1607
10	36	1609
11	39	1603
12	43	1616
13	46	1611
14	49	1606
15	52	1588
16	55	1573
17	58	1567
18	61	1551
19	64	1547
20	67	1535
21	70	1531
22	73	1518
23	76	1508
24	79	1501
25	81	1494
26	84	1488
27	87	1479
28	90	1477
29	94	1473
30	97	1469
31	99	1461
32	103	1459
33	105	1448
34	108	1437
35	110	1429
36	113	1419
37	116	1413
38	118	1404
39	121	1395
40	124	1388
41	126	1379
42	129	1371
43	131	1363
44	134	1356
45	136	1350
46	139	1343
47	141	1336
48	144	1329
49	146	1322
50	149	1316
51	152	1310
52	154	1303
53	157	1298
54	159	1291
55	162	1287
56	164	1282
57	167	1275
58	170	1272
59	172	1265
60	174	1258
61	177	1254
62	180	1248
63	182	1244
64	185	1239
65	187	1233
66	190	1231
67	192	1225
68	195	1222
69	198	1217
70	200	1212
71	203	1209
72	205	1204
73	208	1199
74	211	1196
75	213	1192
76	216	1190
77	219	1187
78	222	1185
79	225	1182
80	227	1178
81	230	1175
82	232	1170
83	235	1167
84	237	1160
85	240	1156
86	242	1153
87	245	1149
88	248	1145
89	250	1142
90	253	1138
91	256	1135
92	258	1131
93	261	1128
94	263	1125
95	266	1121
96	269	1118
97	271	1114
98	274	1110
99	276	1107
100	279	1103
101	281	1099
102	284	1096
103	287	1093
104	289	1090
105	292	1086
106	294	1082
107	297	1079
108	299	1075
109	302	1072
110	305	1069
111	307	1065
112	310	1062
113	312	1059
114	315	1055
115	317	1052
116	320	1048
117	323	1046
118	325	1043
119	328	1039
120	331	1036
121	333	1033
122	336	1029
123	338	1026
124	341	1023
125	343	1020
126	346	1016
127	348	1013
128	351	1010
129	353	1006
130	356	1003
131	359	1000
132	361	997
133	364	996
134	367	992
135	369	989
136	372	986
137	374	983
138	377	980
139	380	977
140	382	974
141	385	971
142	387	967
143	390	965
144	393	962
145	395	959
146	398	956
147	400	952
148	403	950
149	405	947
150	408	944
151	411	942
152	414	939
153	417	937
154	419	934
155	422	932
156	425	930
157	428	927
158	431	924
159	433	921
160	436	918
161	438	914
162	441	912
163	443	909
164	446	906
165	449	903
166	451	900
167	454	897
168	457	895
169	459	891
170	461	888
171	464	885
172	466	882
173	469	879
174	471	876
175	474	873
176	476	870
177	479	867
178	481	863
179	484	861
180	487	858
181	490	856
182	492	853
183	495	850
184	497	847
185	500	844
186	502	841
187	505	838
188	507	835
189	510	832
190	512	829
191	515	826
192	517	823
193	520	821
194	523	818
195	525	815
196	527	811
197	530	809
198	533	806
199	535	803
200	538	801
201	541	798
202	543	795
203	546	792
204	548	789
205	551	787
206	554	785
207	557	782
208	559	779
209	562	776
210	565	774
211	569	774
212	572	771
213	575	769
214	579	767
215	581	764
216	584	762
